code,tipo,marca,modelo,variante,motor,originalpw,modifiedpw,gainpw,maxgainpw,maxgainrpm,originaltorque,modtorque,obd,stg1,acc,ron,vmx,cat,egr,dpf,imm,swr,ms,cat,pricestg1,pricestg2,dtcdecategronly,pricecombo,dpfonly,dpfcombo,dealerpricestg1,dealerpricestg2,dealerdtcdecategronly,dealerpricecombo,dealerdpfonly,dealerdfpcombo,kess,ktag,web
137,AUTO / UTIL,AUDI,A5 B9,,20TSI GEN3 190HP,190,240,50,77,3900,320,395,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,x,1027 1308,https://dataracing.com.ar/cars/audi-a5-b9-2-0tsi-gen-3-190-hp/
127,AUTO / UTIL,AUDI,Q5,,2.0TDI CR,140,180,40,42,4100,321,380,1,1,1,0,1,0,1,0,0,1,0,TD2,19900,19900,11900,2975,17900,8950,5970,5970,3570,892.5,5370,2685,399,1165 269,https://dataracing.com.ar/cars/vw-vento-mk6-2-0tdi-cr-140-hp/
113,AUTO / UTIL,AUDI,Q5,,20TDI CR,170,210,40,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,TD3,24900,24900,14900,3725,22900,11450,7470,7470,4470,1117.5,6870,3435,501,1221 146,https://dataracing.com.ar/cars/audi-q5-2-0tdi-cr-140-hp/
112,AUTO / UTIL,AUDI,Q5,,2.0TFSI,211,265,48,66,5400,360,439,1,1,1,1,1,1,0,0,1,1,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,x,1304 293,https://dataracing.com.ar/cars/audi-a5-b8-2-0tfsi-211-hp/
129,AUTO / UTIL,AUDI,Q5,,2.0TSI MQB,220,300,80,93,4400,348,474,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,473,830,https://dataracing.com.ar/cars/vw-golf-gti-2-0tsi-220-hp/
139,AUTO / UTIL,AUDI,Q5,,20TSI GEN3,252,310,58,69,4400,370,474,1,1,1,1,1,1,0,0,0,0,0,TN4,36900,41900,19900,9950,0,0,11070,12570,5970,2985,0,0,473,830,https://dataracing.com.ar/cars/audi-a4-b8-2-0tsi-gen-3-252-hp/
102,AUTO / UTIL,AUDI,TT MK1,,1.8T,180,215,35,56,4600,235,335,1,1,1,1,1,1,0,0,1,0,1,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,39,53,https://dataracing.com.ar/cars/vw-bora-1-8t-180-hp/
110,AUTO / UTIL,AUDI,TT MK1,,1.8T,210,250,40,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,38,48,
111,AUTO / UTIL,AUDI,TT MK2,,1.8TFSI,163,218,47,64,4200,256,365,1,1,1,1,1,1,0,0,1,1,0,TN1,19900,24900,11900,5950,0,0,5970,7470,3570,1785,0,0,39,53,https://dataracing.com.ar/cars/audi-tt-mk2-1-8tfsi-163-hp/
112,AUTO / UTIL,AUDI ,TT MK2,,2.0TFSI,211,265,48,66,5400,360,439,1,1,1,1,1,1,0,0,1,1,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,x,1304 293,https://dataracing.com.ar/cars/audi-a5-b8-2-0tfsi-211-hp/
114,AUTO / UTIL,AUDI,TT MK2,,3.2 V6,250,270,20,20,6200,318,340,1,1,1,1,1,1,0,0,1,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,120,52,https://dataracing.com.ar/cars/audi-tt-mk-2-3-2-v6-250-hp/
401,AUTO / UTIL,BRP,Sea-doo,,R1P215,215,230,15,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,x,1285 180,
402,AUTO / UTIL,BRP,Sea-doo,,R1T260,260,280,20,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,x,1285 180,
403,AUTO / UTIL,BRP,Sea-doo spark,,Spark 900,60-90,105,15,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,x,180,
404,AUTO / UTIL,BRP,Sea-doo GTI,,GTI 1500,130,145,15,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,TN2,24900,28900,13900,6950,0,0,7470,8670,4170,2085,0,0,x,1285 180,
501,AUTO / UTIL,BMW,SERIE 1 Exx,,116i,116,126,10,10,5100,150,292,0,1,1,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,,171,https://dataracing.com.ar/cars/bmw-116-i-1-6l-116-hp/
502,AUTO / UTIL,BMW,SERIE 1 Exx,,118i,143,156,13,16,5100,190,254,0,1,1,1,1,1,0,0,0,0,0,A3,18900,21900,12900,6450,0,0,5670,6570,3870,1935,0,0,202,991,https://dataracing.com.ar/cars/bmw-118i-1-8l-143-hp/
503,AUTO / UTIL,BMW,SERIE 1 Exx,,120i 320i,168,178,15,15,5100,210,222,0,1,1,1,1,1,0,0,0,0,0,A4,24900,28900,14900,7450,0,0,7470,8670,4470,2235,0,0,202,991,https://dataracing.com.ar/cars/bmw-120i-3320-i-2-0l-163-hp/
